City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,hithadhoo,-0.6,73.0833,81.42800000000007,76,46,5.63,MV,2022-11-06 20:48:53
85,manitouwadge,49.1215,-85.8403,36.75200000000008,82,82,6.42,CA,2022-11-06 20:48:53
86,port elizabeth,-33.918,25.5701,66.092,91,0,7.72,ZA,2022-11-06 20:44:02
87,new norfolk,-42.7826,147.0587,72.71600000000001,36,43,0.89,AU,2022-11-06 20:44:12
88,chokurdakh,70.6333,147.9167,5.054000000000052,93,100,8.11,RU,2022-11-06 20:48:53
89,dikson,73.5069,80.5464,7.430000000000042,92,100,3.64,RU,2022-11-06 20:48:53
90,kautokeino,69.0125,23.0412,23.162000000000056,89,44,2.4,NO,2022-11-06 20:48:54
91,saskylakh,71.9167,114.0833,-23.76399999999999,100,50,1.21,RU,2022-11-06 20:48:54
92,leningradskiy,69.3833,178.4167,15.638000000000044,80,1,3.94,RU,2022-11-06 20:48:54
93,odessa,46.4775,30.7326,46.47200000000004,78,73,5.15,UA,2022-11-06 20:37:20
94,castelo do piaui,-5.3222,-41.5525,77.27000000000007,76,100,0.85,BR,2022-11-06 20:48:55
95,grong,64.4654,12.3149,34.88000000000004,94,8,0.94,NO,2022-11-06 20:48:55
96,alofi,-19.0595,-169.9187,80.49199999999999,61,3,6.17,NU,2022-11-06 20:48:55
97,port blair,11.6667,92.75,82.43600000000006,78,75,2.57,IN,2022-11-06 20:48:56
98,itaituba,-4.2761,-55.9836,76.01000000000008,88,88,0.69,BR,2022-11-06 20:48:56
99,atuona,-9.8,-139.0333,77.03600000000007,68,67,5.18,PF,2022-11-06 20:48:56
100,san quintin,30.4833,-115.95,63.42800000000007,81,58,3.75,MX,2022-11-06 20:48:57
101,grootfontein,-19.5667,18.1167,62.168000000000085,67,9,3.6,NA,2022-11-06 20:48:57
102,qaanaaq,77.484,-69.3632,-1.7139999999999844,92,100,3.48,GL,2022-11-06 20:48:57
103,progreso,21.2833,-89.6667,79.10600000000002,72,5,5.62,MX,2022-11-06 20:48:57
104,qui nhon,13.7667,109.2333,77.75600000000003,82,100,5.35,VN,2022-11-06 20:48:58
105,tateyama,34.9833,139.8667,60.09800000000003,71,100,3.34,JP,2022-11-06 20:48:58
106,ponta do sol,32.6667,-17.1,68.72000000000006,87,28,0.65,PT,2022-11-06 20:48:58
107,chicama,-7.8447,-79.1469,61.34000000000002,82,17,2.14,PE,2022-11-06 20:48:59
108,muros,42.7762,-9.0603,61.088000000000044,70,99,7.35,ES,2022-11-06 20:48:59
109,lokomotivnyy,53.0118,60.5684,21.182000000000016,89,86,3.1,RU,2022-11-06 20:48:59
110,lorengau,-2.0226,147.2712,83.89400000000008,75,83,2.77,PG,2022-11-06 20:49:00
111,paarl,-33.7338,18.9752,62.024000000000015,78,100,1.28,ZA,2022-11-06 20:49:00
112,tiksi,71.6872,128.8694,0.8420000000000485,93,100,9.27,RU,2022-11-06 20:46:36
113,palatka,29.6486,-81.6376,76.98200000000001,83,28,0.45,US,2022-11-06 20:49:00
114,casino,-28.8667,153.05,73.77800000000006,62,59,3.3,AU,2022-11-06 20:49:01
115,saint-philippe,-21.3585,55.7679,69.38600000000007,82,47,4.28,RE,2022-11-06 20:49:01
116,deniliquin,-35.5333,144.9667,74.642,50,64,2.28,AU,2022-11-06 20:49:01
117,leamington,42.0549,-82.6062,59.07200000000004,72,0,6.26,CA,2022-11-06 20:49:02
118,libourne,44.9167,-0.25,54.104000000000056,94,54,3.17,FR,2022-11-06 20:49:02
119,maroantsetra,-15.4333,49.7333,70.34000000000002,89,18,1.18,MG,2022-11-06 20:49:03
120,villeneuve-sur-lot,44.5,0.6667,50.72000000000006,93,0,2.07,FR,2022-11-06 20:49:05
121,birao,10.2849,22.7882,73.07600000000009,35,3,2.36,CF,2022-11-06 20:49:05
122,carnarvon,-24.8667,113.6333,69.27800000000006,61,66,7.21,AU,2022-11-06 20:49:06
123,comodoro rivadavia,-45.8667,-67.5,66.05600000000003,37,0,1.54,AR,2022-11-06 20:44:25
124,longyearbyen,78.2186,15.6401,30.038000000000046,80,75,5.14,SJ,2022-11-06 20:44:42
125,mount gambier,-37.8333,140.7667,76.13600000000007,42,6,1.29,AU,2022-11-06 20:49:06
126,cabo san lucas,22.8909,-109.9124,76.29800000000003,70,0,3.13,MX,2022-11-06 20:46:09
127,shaunavon,49.6501,-108.4181,6.5839999999999925,97,92,2.64,CA,2022-11-06 20:49:07
128,port alfred,-33.5906,26.891,66.18200000000002,84,100,3.13,ZA,2022-11-06 20:49:07
129,huilong,31.8111,121.655,65.93000000000004,61,0,5.13,CN,2022-11-06 20:49:07
130,lavrentiya,65.5833,-171.0,33.76400000000003,99,100,4.77,RU,2022-11-06 20:49:08
131,dingle,10.9995,122.6711,85.22600000000008,73,98,3.98,PH,2022-11-06 20:49:08
132,tonantins,-2.8731,-67.8022,77.36000000000008,76,100,0.1,BR,2022-11-06 20:49:09
133,valle hermoso,25.6667,-97.8333,80.45600000000003,82,2,4.84,MX,2022-11-06 20:49:09
134,surt,31.2089,16.5887,68.70200000000008,62,10,5.91,LY,2022-11-06 20:49:09
135,chuy,-33.6971,-53.4616,58.208000000000006,87,0,4.17,UY,2022-11-06 20:49:10
136,aklavik,68.2191,-135.0107,-5.83599999999997,89,4,3.01,CA,2022-11-06 20:49:10
137,saldanha,-33.0117,17.9442,61.772000000000034,93,100,3.65,ZA,2022-11-06 20:49:10
138,thompson,55.7435,-97.8558,12.362000000000059,85,100,4.63,CA,2022-11-06 20:49:04
139,baft,29.234,56.6057,44.708000000000006,48,0,0.63,IR,2022-11-06 20:49:11
140,zhigansk,66.7697,123.3711,-14.007999999999953,94,100,1.06,RU,2022-11-06 20:46:04
141,lobong,16.0815,120.4704,84.27200000000003,70,12,2.41,PH,2022-11-06 20:49:11
142,ambunti,-4.2365,142.8448,93.542,51,36,0.7,PG,2022-11-06 20:49:11
143,fairbanks,64.8378,-147.7164,5.594000000000072,83,20,0.0,US,2022-11-06 20:47:39
144,hua hin,12.5707,99.9588,81.89600000000004,99,20,0.0,TH,2022-11-06 20:49:12
145,pasni,25.2631,63.471,77.14400000000008,78,2,3.67,PK,2022-11-06 20:44:25
146,luena,-11.7833,19.9167,62.041999999999994,97,100,1.28,AO,2022-11-06 20:49:13
147,henties bay,-22.116,14.2845,63.518000000000086,78,100,3.35,NA,2022-11-06 20:49:13
148,kaitangata,-46.2817,169.8464,66.93800000000005,43,27,3.72,NZ,2022-11-06 20:49:13
149,ravar,31.2656,56.8055,57.272000000000034,37,0,0.45,IR,2022-11-06 20:49:14
150,hinton,53.4001,-117.5857,2.768000000000086,97,100,1.92,CA,2022-11-06 20:49:14
151,souillac,-20.5167,57.5167,71.97800000000007,83,40,1.54,MU,2022-11-06 20:49:14
152,aasiaat,68.7098,-52.8699,10.112000000000059,98,100,2.25,GL,2022-11-06 20:49:16
153,laguna,38.421,-121.4238,59.39600000000005,56,75,4.63,US,2022-11-06 20:49:16
154,taltal,-25.4,-70.4833,61.30400000000005,78,17,1.99,CL,2022-11-06 20:47:09
155,mazagao,-0.115,-51.2894,78.85400000000006,93,100,1.14,BR,2022-11-06 20:49:16
156,cozumel,20.5083,-86.9458,80.07800000000006,78,20,2.24,MX,2022-11-06 20:44:22
157,gat,31.61,34.7642,67.40600000000003,100,1,0.42,IL,2022-11-06 20:49:17
158,blagoyevo,63.3667,47.9167,28.094000000000072,96,100,3.33,RU,2022-11-06 20:49:17
159,fort nelson,58.8053,-122.7002,0.9860000000000184,100,75,1.54,CA,2022-11-06 20:46:40
